slug,provider,offer,actionButtons,technology,monitoringAndAnalytics,additionalFeatures,starred,availableApis,sdk,searchCapabilities,smartContractsVerifications,fullHistory,pricing,tag
blockscout,Blockscout,,"[""[Explore](https://www.blockscout.com/)"",""[Docs](https://docs.blockscout.com/)""]",Blockscout,"[""Accounts"",""Transactions"",""Blocks"",""Tokens"",""Gas"",""Contracts"",""Logs"",""Events""]","[""Token Tracker"", ""Network Metrics"",""NFT Tracking""]",FALSE,"[""REST API"", ""GraphQL"", ""RPC API"", ""Eth RPC API"",""JSON-RPC""]","[""TypeScript"",""Node.js""]","[""Address"",""Transaction Hash"",""Block"",""Token"",""Message ID"",""Height""]",TRUE,TRUE,Free,
bscscan,Etherscan,,"[""[Explore](https://bscscan.com/)""]",Etherscan,"[""Transactions"",""Address Activity"",""Token transfers"",""Blocks""]","[""Validator Leaderboard"",""Verified Contracts"",""API Access""]",FALSE,"[""REST API""]",,"[""Address"",""Transaction Hash"",""Block"",""Token""]",TRUE,TRUE,Free,
chainlens-growth,Chainlens,,"[""[Buy](https://www.chainlens.com/plans)""]",EVM,"[""Transactions"",""Blocks"",""Tokens"",""Contracts""]","[""Smart Contract Verification"",""Advanced Analytics""]",FALSE,"[""REST API""]",,"[""Address"",""Transaction Hash"",""Token"",""Block Hash"",""Contract""]",TRUE,TRUE,$995/mo,
chainlens-pro,Chainlens,,"[""[Contact](https://www.chainlens.com/plans)""]",EVM,"[""Transactions"",""Blocks"",""Tokens"",""Contracts""]","[""Smart Contract Verification"",""Advanced Analytics"",""White-labeling""]",FALSE,"[""REST API""]",,"[""Address"",""Transaction Hash"",""Token"",""Block Hash"",""Contract""]",TRUE,TRUE,$1995/mo,
chainlens-starter,Chainlens,,"[""[Buy](https://www.chainlens.com/plans)""]",EVM,"[""Transactions"",""Blocks"",""Tokens"",""Contracts""]","[""Smart Contract Verification"",""Advanced Analytics""]",FALSE,"[""REST API""]",,"[""Address"",""Transaction Hash"",""Token"",""Block Hash"",""Contract""]",TRUE,TRUE,$495/mo,
core-scan,Core DAO,Core Scan,"[""[Explore](https://scan.coredao.org/)"",""[Docs](https://docs.coredao.org/docs/Dev-Guide/core-explorer)""]",Custom,"[""Transactions"",""Accounts"",""Blocks""]","[""Mainnet and Testnet explorers""]",FALSE,,,,TRUE,TRUE,Free,
dex-guru,Dex.Guru,,"[""[Explore](https://dex.guru/)""]",Custom,"[""Accounts"",""Transactions"",""Tokens"",""Contracts""]",,FALSE,,,"[""Address"",""Transaction Hash"",""Block""]",TRUE,FALSE,Free,
etherscan,Etherscan,,,Custom,"[""Accounts"",""Transactions"",""Tokens"",""Contracts""]","[""Token Tracker"",""Network Metrics""]",FALSE,"[""REST API""]",,"[""Address"",""Transaction Hash"",""Block""]",TRUE,TRUE,Free,
ethplorer,Ethplorer,,"[""[Explore](https://ethplorer.io/)""]",Custom,"[""Accounts"",""Transactions"",""Tokens"",""Contracts""]","[""Token Pulse"",""Portfolio Charts""]",FALSE,"[""REST API""]",,"[""Address"",""Transaction Hash"",""Block""]",FALSE,TRUE,Free,
ethvm,EthVM,,"[""[Explore](https://www.ethvm.com/)""]",Custom,"[""Accounts"",""Transactions"",""Tokens"",""Contracts""]","[""Portfolio Charts"",""Internal TX Tracking""]",FALSE,"[""REST API""]",,"[""Address"",""Transaction Hash"",""Block""]",FALSE,TRUE,Free,
filfox,FilFox,,"[""[Explore](https://filfox.info/en/)""]",Custom,"[""Storage Power"",""Sector Pledge"",""Gas"",""Storage Providers""]",,FALSE,"[""REST""]",,"[""Height"",""Address"",""Message ID""]",TRUE,TRUE,Free,
filscan,FilScan,,"[""[Explore](https://filscan.io)""]",Custom,"[""Contracts"",""Storage Power"",""Block Rewards"",""Storage Providers"",""Tokens"",""Storage Capacity""]",,FALSE,,,"[""Address"",""Message ID"",""Height"",""Block"",""Miner ID"",""FNS""]",TRUE,TRUE,Free,
flareexplorer,Flare Network,Flare Explorer,"[""[Explore](https://flare-explorer.flare.network/)""]",Blockscout,"[""Accounts"",""Transactions"",""Blocks"",""Tokens"",""Gas"",""Contracts""]","[""C-Chain Support"",""P-Chain Support"",""Token Tracker"",""Network Metrics""]",FALSE,"[""REST"",""GraphQL"",""JSON-RPC""]","[""TypeScript"",""Node.js""]","[""Address"",""Transaction Hash"",""Block"",""Token""]",TRUE,TRUE,Free,
flarescan,Avascan,FlareScan,"[""[Explore](https://mainnet.flarescan.com/)""]",Blockscout,"[""Accounts"",""Transactions"",""Blocks"",""Tokens"",""Gas"",""Contracts""]","[""C-Chain Support"",""P-Chain Support"",""Token Tracker"",""Network Metrics""]",FALSE,"[""REST"",""GraphQL""]","[""TypeScript"",""Node.js""]","[""Address"",""Transaction Hash"",""Block"",""Token""]",TRUE,TRUE,Free,
flaresystems,Flare Systems,Flare Systems Explorer,"[""[Explore](https://flare-systems-explorer.flare.network/)""]",Custom,"[""FTSO Data"",""Staking Rewards"",""Epoch Status""]","[""FTSO Monitoring"",""Delegation Tracking""]",FALSE,"[""REST""]","[""TypeScript""]","[""Address"",""Epoch"",""Provider""]",FALSE,FALSE,Free,
jiffyscan-developer,jiffyscan.xyz,,"[""[Explore](https://jiffyscan.xyz/pricing)""]",Custom,"[""UserOperations"",""Bundlers"",""Paymasters"",""Accounts""]","[""ERC-4337 Support"",""Multi-Chain Search""]",FALSE,"[""REST API""]","[""TypeScript""]","[""Address"",""UserOp Hash"",""Transaction Hash""]",FALSE,FALSE,Developer ($54/mo - 10k calls/day),
jiffyscan-professional,jiffyscan.xyz,,"[""[Explore](https://jiffyscan.xyz/pricing)""]",Custom,"[""UserOperations"",""Bundlers"",""Paymasters"",""Accounts""]","[""ERC-4337 Support"",""Multi-Chain Search""]",FALSE,"[""REST API""]","[""TypeScript""]","[""Address"",""UserOp Hash"",""Transaction Hash""]",FALSE,FALSE,Professional ($103/mo - 50k calls/day),
jiffyscan-starter,jiffyscan.xyz,,"[""[Explore](https://jiffyscan.xyz/pricing)""]",Custom,"[""UserOperations"",""Bundlers"",""Paymasters"",""Accounts""]","[""ERC-4337 Support"",""Multi-Chain Search""]",FALSE,"[""REST API""]","[""TypeScript""]","[""Address"",""UserOp Hash"",""Transaction Hash""]",FALSE,FALSE,Starter (Free - 1k calls/day),
lens-network,Lens,Lens Network,"[""[Explore](https://explorer.lens.xyz/)"",""[Docs](https://lens.xyz/docs/chain/overview)""]",Custom,"[""Accounts"",""Transactions"",""Blocks"",""Tokens"",""Gas"",""Contracts""]","[""Token Tracker"",""NFT Tracking"",""Network Metrics""]",TRUE,"[""REST""]","[""TypeScript""]","[""Address"",""Transaction Hash"",""Block"",""Token""]",TRUE,TRUE,Free,
lora,Algorand,Lora,"[""[Explore](https://lora.algokit.io/)"",""[Docs](https://dev.algorand.co/algokit/lora/overview/)""]",Custom,"[""Blocks"",""Transactions"",""Transaction Groups"",""Assets"",""Accounts"",""Applications""]","[""Live Transaction View"",""Historical Transaction View"",""App Lab"",""Transaction Wizard"",""Contract Simulation""]",FALSE,,,"[""Address"",""Transaction Hash"",""Block"",""Asset"",""Application""]",FALSE,TRUE,Free,"[""Open Source"",""Developer Tools""]"
metasleuth,MetaSleuth,,"[""[Explore](https://metasleuth.io/)""]",Custom,"[""Fund Tracking"",""Visual Analysis""]","[""Graph Visualization"",""Hacker Tracking""]",FALSE,"[""REST API""]",,"[""Address"",""Tx""]",FALSE,TRUE,"Free/$50/$180/$900/mo (individual monthly plan), $100/$360/$1800/mo (team monthly plan)",
oklink,OKLink,,"[""[Explore](https://www.oklink.com/)""]",Custom,"[""Transactions"",""Blocks"",""Tokens"",""Gas"",""Contracts"",""Accounts"",""Token transfers"",""Address Activity""]","[""Token Tracker"",""Smart Contract Verification"",""Address Labels"",""Address Monitoring"",""APIs"",""Network Overview"",""Price Charts"",""Amoy Contract Verification""]",FALSE,"[""REST API"", ""GraphQL"", ""RPC API""]","[""TypeScript""]","[""Address"",""Transaction Hash"",""Block"",""Token""]",TRUE,TRUE,Free,
okx,OKX,,"[""[Explore](https://web3.okx.com/explorer)""]",Custom,"[""Transactions"",""Blocks"",""Tokens"",""Gas"",""Contracts""]","[""Token Tracker"",""Smart Contract Verification"",""Label System""]",FALSE,"[""REST API""]",,"[""Address"",""Transaction Hash"",""Block"",""Token""]",TRUE,TRUE,Free,
pera,Pera,Pera Explorer,"[""[Explore](https://explorer.perawallet.app/)""]",Custom,"[""Accounts"",""Transactions"",""NFTs"",""Assets"",""Applications"",""Blocks""]","[""Verified Assets Database"",""Asset Price Charts"",""NFT Transaction History"",""Asset Opt-in""]",FALSE,"[""REST API""]",,"[""Address"",""Transaction Hash"",""Block"",""Asset"",""Application""]",TRUE,TRUE,Free,
polkadot-js,Polkadot.JS,,"[""[Explore](https://polkadot.js.org/apps/#/explorer/)""]",Polkadot.JS,"[""Recent blocks"",""Recent events"",""Governance: Democracy"",""Governance: Treasury"",""Governance: Council""]","[""Developer RPC playground"", ""Developer Javascript playground"", ""Developer extrinsic playground"", ""Address Conversion"", ""Hash data"", ""Encode XCM""]",FALSE,"[""REST API""]",,"[""Contracts"",""Chain State"",""Extrinsics"",""RPC Calls"",""Runtime Calls"",""Transactions"",""Blocks""]",FALSE,FALSE,Free,
polygonscan,Etherscan,Polygonscan,"[""[Explorer](https://polygonscan.com/)""]",Etherscan,"[""Transactions"",""Token transfers"",""Blocks"",""Addresses""]","[""Verified Contracts"",""API access""]",TRUE,"[""REST API""]",,"[""Search"",""Filter"",""Labels""]",TRUE,TRUE,Free,
ronin-explorer,Ronin,Ronin Block Explorer,"[""[Explore](https://app.roninchain.com)""]",Custom,"[""Transactions"",""Blocks"",""Addresses"",""Contracts"",""Tokens""]","[""Real-time blockchain data""]",FALSE,,,"[""Address"",""Transaction"",""Block"",""Contract"",""Token""]",FALSE,TRUE,Free,
routescan,Routescan,,"[""[Explore](https://routescan.io/)""]",Custom,"[""Accounts"",""Transactions"",""Blocks"",""Tokens"",""Contracts""]","[""Unified Multi-Chain Search"",""Explorer-as-a-Service""]",FALSE,"[""REST API"",""Etherscan-compatible API""]",,"[""Address"",""Transaction Hash"",""Block"",""Token"",""Contract""]",TRUE,TRUE,"Free, paid versions of API for $0-$440",
starboard,Starboard,,"[""[Explore](https://fvm.starboard.ventures/)""]",Custom,"[""Contracts"",""Transactions"",""Blocks"",""DeFi""]","[""Smart Contract Verification""]",FALSE,,,"[""Contract"",""Transaction Hash"",""Message CID""]",TRUE,FALSE,Free,
subscan,Subscan,,"[""[Explore](https://www.subscan.io/)""]",Subscan,"[""Daily Transfer Amount"",""Daily Signed Extrinsic Number"",""Daily Unsigned Extrinsic Number"",""Daily EVM Transaction Number"",""Daily Active Account & Newly Created Account"",""Daily Total Account & Holder"",""Daily Fees Used"",""Daily Average Block Time"",""Average Ref Size"",""Daily XCM Transfer"",""Daily XCM Message"",""XCM Message Flow"",""XCM Transfer Flow"",""Daily Native Token Circulating Supply"",""Daily Vesting Schedule""]","[""SLA""]",FALSE,"[""JSON-RPC"", ""REST API""]",,"[""Blocks"",""Extrinsics"",""Transfers"",""Events"",""Assets"",""Accounts"",""Logs"",""Collators"",""EVM Accounts"",""ERC20 Tokens"", ""NFT"", ""XCM"", ""Contracts"", ""Government"", ""Democracy proposals""]",TRUE,TRUE,"Free, paid versions of API for $19-$399 for 5/10/30 RPS. Yearly discounts apply",
suiexplorer,Sui,,"[""[Explore](https://suiexplorer.com/)""]",Custom,"[""Accounts"",""Transactions"",""Objects"",""Blocks""]",,FALSE,,,"[""Address"",""Transaction"",""Block"",""Object""]",FALSE,TRUE,Free,
suiscan,SuiScan,,"[""[Explore](https://suiscan.xyz/)""]",Custom,"[""Accounts"",""Transactions"",""Blocks"",""Validators"",""Packages"",""Objects"",""Coins"",""NFTs""]","[""Gas Tracker"",""Staking Analytics"",""Historical Epochs"",""Protocol Insights""]",FALSE,,,"[""Address"",""Transaction"",""Block"",""Package"",""Object"",""Validator""]",FALSE,TRUE,Free,
suivision,BlockVision,,"[""[Explore](https://suivision.xyz/)""]",Custom,"[""Accounts"",""Transactions"",""Blocks"",""Validators"",""Tokens"",""NFTs"",""DeFi""]","[""Project Leaderboard"",""Staking Analytics"",""Protocol Insights""]",FALSE,,,"[""Address"",""Transaction"",""Block"",""Token"",""Validator""]",FALSE,TRUE,Free,
teloscan,Teloscan,,"[""[Explore](https://www.teloscan.io/)""]",Custom,"[""Transactions"",""Blocks"",""Contracts"",""Token transfers""]","[""Official Telos explorer""]",FALSE,,,"[""Address"",""Transaction Hash"",""Block"",""Contract"",""Token""]",TRUE,TRUE,Free,
tenderly-explorer,Tenderly,,"[""[Explore](https://docs.tenderly.co/developer-explorer)""]",Custom,"[""Accounts"",""Transactions"",""Blocks"",""Contracts"",""Gas""]","[""Virtual TestNet Creation"",""Smart Contract Debugging"",""Gas Optimization"",""Transaction Trace""]",FALSE,"[""REST API""]",,"[""Address"",""Transaction"",""Block"",""Token"",""Contract""]",TRUE,TRUE,"Free/$50/$500/mo, $45/$450/yearly",
tokenterminal-explorer,token terminal,,"[""[Explore](https://tokenterminal.com/products/explorer)""]",Custom,"[""Protocol Revenue"",""Daily Active Users"",""Trading Fees"",""Financial Metrics""]","[""Standardized Metrics"",""Chart Editing"",""CSV Downloads""]",FALSE,"[""REST API""]",,"[""Protocol"",""Sector"",""Contract""]",FALSE,TRUE,Free/$350/mo,
tokenview,TokenView,,,Custom,"[""Accounts"",""Transactions"",""Tokens"",""Contracts""]","[""Token/NFT Explorer"",""RPC Service""]",FALSE,"[""REST API""]",,"[""Address"",""Transaction Hash"",""Block""]",FALSE,TRUE,Free,
tonscan,"Bakkenbaeck, Bastion Digital",Tonscan.org,"[""[Explore](https://tonscan.org/)""]",Custom,"[""Addresses"",""Transactions"",""Blocks"",""Validators"",""Accounts""]","[""Interactive Graphs"",""Address Labeling"",""Custom Indexer""]",FALSE,"[""REST API"",""JSON-RPC""]","[""Python"",""TON Kotlin""]","[""Address"",""Transaction"",""Block"",""Domain""]",TRUE,TRUE,Free,
tonviewer,Brave,Tonviewer,"[""[Explore](https://tonviewer.com/)""]",Custom,"[""Addresses"",""Transactions"",""Blocks"",""Smart Contracts""]","[""Trace Visualization"",""Analysis tools beyond basic transaction"",""Block browsing""]",FALSE,"[""REST API""]",,"[""Address"",""Transaction"",""Block""]",FALSE,TRUE,Free,
uviblock,Uviblock,,"[""[Explore](https://app.uviblock.com)""]",Custom,"[""Accounts"",""Transactions"",""Blocks"",""Contracts"",""Tokens""]","[""Multi-Chain Support"",""Contract Read"",""Local History"",""Address Aliases"",""No Account Required""]",FALSE,,,"[""Address"",""Transaction Hash"",""Block"",""Alias""]",FALSE,FALSE,Free,
wormholescan,Wormhole,,"[""[Explore](https://wormholescan.io/)""]",Custom,"[""Cross-Chain Messaging"",""Token Transfers""]","[""Bridge Analytics""]",FALSE,"[""REST API""]",,"[""Transaction Hash"",""VAA""]",FALSE,TRUE,Free,
xdcscan,XDC Network,,"[""[Explore](https://xdcscan.io/)""]",Custom,"[""Accounts"",""Transactions"",""Blocks"",""Tokens"",""Contracts""]","[""Mainnet explorer"",""Apothem and Devnet explorers available""]",FALSE,,,"[""Address"",""Transaction Hash"",""Block""]",FALSE,TRUE,Free,
xrpscan,XRPScan,,"[""[Explore](https://xrpscan.com/)""]",Custom,"[""Accounts"",""Transactions"",""Ledgers""]","[""XRPL Analytics"",""Simple Lookup""]",FALSE,,,"[""Address"",""Transaction Hash"",""Ledger""]",FALSE,TRUE,Free,
