slug,provider,offer,actionButtons,planName,planType,historicalData,apiType,technology,accessPrice,queryPrice,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address,tag,uptimeSla,verifiedUptime,blocksBehindSla,verifiedBlocksBehindAvg,bandwidthSla,verifiedLatency,supportSla
1rpc-developer-recent-state,1rpc,,"[""[Buy](https://www.1rpc.io/#pricing)"",""[Docs](https://docs.1rpc.io/)""]",Developer,Tiered,Pruned,RPC,EVM JSON-RPC,"$29.90/mo (monthly plan), $24.99/mo (yearly plan)",$0,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""100K protected reqs/day""]","[""Privacy Protected Relays"", ""Transaction Sanitizers""]","[""Real-time monitoring"",""Usage analytics"",""Advanced analytics"",""Customizable alerting and reporting"",""Transaction sanitizers""]","[""Global""]",,,,99.90%,NULL,NULL,NULL,NULL,NULL,
1rpc-enterprise-recent-state,1rpc,,"[""[Contact](https://www.1rpc.io/#pricing)"",""[Docs](https://docs.1rpc.io/)""]",,Enterprise,Pruned,RPC,EVM JSON-RPC,Custom,Custom,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""custom limits""]","[""Privacy Protected Relays"", ""Transaction Sanitizers""]","[""Real-time monitoring"",""Usage analytics"",""Advanced analytics"",""Customizable alerting and reporting"",""Transaction sanitizers""]","[""Global""]",,,,99.99%,NULL,NULL,NULL,NULL,NULL,
1rpc-personal-recent-state,1rpc,,"[""[Buy](https://www.1rpc.io/#pricing)"",""[Docs](https://docs.1rpc.io/)""]",Personal,Tiered,Pruned,RPC,EVM JSON-RPC,"$9.90/mo (monthly plan), $8.33/mo (yearly plan)",$0,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""40K protected reqs/day""]","[""Privacy Protected Relays"", ""Transaction Sanitizers""]","[""Real-time monitoring"",""Usage analytics"",""Advanced analytics"",""Customizable alerting and reporting"",""Transaction sanitizers""]","[""Global""]",,,,99.90%,NULL,NULL,NULL,NULL,NULL,
1rpc-public-recent-state,1rpc,,"[""[Website](https://1rpc.io)"",""[Docs](https://docs.1rpc.io/)""]",,Public,Pruned,RPC,EVM JSON-RPC,$0,$0,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""10K protected reqs/day""]","[""Privacy Protected Relays""]","[""Real-time monitoring"",""Usage analytics"",""Advanced analytics"",""Customizable alerting and reporting"",""Transaction sanitizers""]","[""Global""]",,,,,NULL,NULL,NULL,NULL,NULL,
1rpc-starter-recent-state,1rpc,,"[""[Website](https://1rpc.io)"",""[Docs](https://docs.1rpc.io/)""]",Starter,Free,Pruned,RPC,EVM JSON-RPC,$0,$0,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""20K protected reqs/day""]","[""Privacy Protected Relays"", ""Transaction Sanitizers""]","[""Real-time monitoring"",""Usage analytics"",""Advanced analytics"",""Customizable alerting and reporting"",""Transaction sanitizers""]","[""Global""]",,,,99.90%,NULL,NULL,NULL,NULL,NULL,
alchemy-enterprise-full-archive,Alchemy,,"[""[Contact](https://www.alchemy.com/contact-sales)"",""[Docs](https://www.alchemy.com/docs)""]",,Enterprise,Archive,RPC,EVM JSON-RPC,Custom,Custom pricing,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace"",""nft"",""transfer"",""tokens"",""node""]","[""custom limits""]","[""TX simulation"",""DDoS Protection"",""IP Protection"",""Dedicated infrastructure""]","[""Usage analytics"",""Advanced analytics"",""Custom dashboards"",""Engineering support""]","[""Global""]",,,,99.99%,NULL,NULL,NULL,NULL,NULL,
alchemy-enterprise-recent-state,Alchemy,,"[""[Contact](https://www.alchemy.com/contact-sales)"",""[Docs](https://www.alchemy.com/docs)""]",,Enterprise,Pruned,RPC,EVM JSON-RPC,Custom,Custom pricing,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace"",""nft"",""transfer"",""tokens"",""node""]","[""custom limits""]","[""TX simulation"",""DDoS Protection"",""IP Protection"",""Dedicated infrastructure""]","[""Usage analytics"",""Advanced analytics"",""Custom dashboards"",""Engineering support""]","[""Global""]",,,,99.99%,NULL,NULL,NULL,NULL,NULL,
alchemy-free-full-archive,Alchemy,,"[""[Website](https://www.alchemy.com)"",""[Docs](https://www.alchemy.com/docs)""]",,Free,Archive,RPC,EVM JSON-RPC,$0,$0/1M request,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace"",""nft"",""transfer"",""tokens"",""node""]","[""25 reqs/sec"",""30M CU/mo""]","[""TX simulation"",""DDoS Protection"",""IP Protection""]","[""Basic monitoring"",""Usage analytics""]","[""Global""]",,,,,NULL,NULL,NULL,NULL,NULL,
alchemy-free-recent-state,Alchemy,,"[""[Website](https://www.alchemy.com)"",""[Docs](https://www.alchemy.com/docs)""]",,Free,Pruned,RPC,EVM JSON-RPC,$0,$0/1M request,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace"",""nft"",""transfer"",""tokens"",""node""]","[""25 reqs/sec"",""30M CU/mo""]","[""TX simulation"",""DDoS Protection"",""IP Protection""]","[""Basic monitoring"",""Usage analytics""]","[""Global""]",,,,,NULL,NULL,NULL,NULL,NULL,
alchemy-pay-as-you-go-full-archive,Alchemy,,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://www.alchemy.com/docs)""]",,Pay-as-you-go,Archive,RPC,EVM JSON-RPC,$5/$45/$215/$415/$815/$2K,$0.40/$0.45/1M CUs,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace"",""nft"",""transfer"",""tokens"",""node""]","[""300 req/sec""]","[""TX simulation"",""DDoS Protection"",""IP Protection"",""SAML SSO""]","[""Usage analytics"",""Custom alerts"",""Reporting"",""Custom monitoring"",""Advanced analytics""]","[""Global""]",,,,99.99%,NULL,NULL,NULL,NULL,NULL,
alchemy-pay-as-you-go-recent-state,Alchemy,,"[""[Buy](https://www.alchemy.com/pricing)"",""[Docs](https://www.alchemy.com/docs)""]",,Pay-as-you-go,Pruned,RPC,EVM JSON-RPC,$5/$45/$215/$415/$815/$2K,$0.40/$0.45/1M CUs,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace"",""nft"",""transfer"",""tokens"",""node""]","[""300 req/sec""]","[""TX simulation"",""DDoS Protection"",""IP Protection"",""SAML SSO""]","[""Usage analytics"",""Custom alerts"",""Reporting"",""Custom monitoring"",""Advanced analytics""]","[""Global""]",,,,99.99%,NULL,NULL,NULL,NULL,NULL,
algorand-indexer,Algorand,,"[""[Website](https://dev.algorand.co/nodes/installation/indexer-installation/#_top)"",""[Docs](https://developer.algorand.org/docs/get-details/indexer/)""]",,Free,Archive,Indexed Data,Algorand Indexer,$0,$0(self-hosted open-source),FALSE,FALSE,"[""REST API""]",,"[""Secure API keys"",""Encrypted endpoints""]","[""Real-time logging with SDKs""]","[""Global""]","[""Network agnostic (supports MainNet/TestNet/BetaNet)"",""Efficient data retrieval"",""Requires a separate binary download""]",null,,,,,,,,
allthatnode-business-full-archive,AllThatNode,,"[""[Contact](https://www.allthatnode.com/pricing.dsrv)"",""[Docs](https://docs.allthatnode.com/docs/welcome-to-all-that-node)""]",Business,Enterprise,Archive,RPC,EVM JSON-RPC,Custom,Custom pricing,FALSE,FALSE,"[""eth"",""net"",""web3"",""debug"",""trace"",""websocket""]","[""custom limits"",""unlimited throughput limit""]","[""IP Whitelisting"",""JWT Authentication"",""Smart Contract Address Restrictions"",""Front-Running Protection"",""Comprehensive Analytics Dashboard""]","[""Advanced analytics"",""Custom dashboards"",""Engineering support""]","[""Global""]",null,,,99.99%,NULL,NULL,NULL,NULL,NULL,
allthatnode-business-recent-state,AllThatNode,,"[""[Contact](https://www.allthatnode.com/pricing.dsrv)"",""[Docs](https://docs.allthatnode.com/docs/welcome-to-all-that-node)""]",Business,Enterprise,Pruned,RPC,EVM JSON-RPC,Custom,Custom pricing,FALSE,FALSE,"[""eth"",""net"",""web3"",""debug"",""trace"",""websocket""]","[""custom limits"",""unlimited throughput limit""]","[""IP Whitelisting"",""JWT Authentication"",""Smart Contract Address Restrictions"",""Front-Running Protection"",""Comprehensive Analytics Dashboard""]","[""Advanced analytics"",""Custom dashboards"",""Engineering support""]","[""Global""]",null,,,99.99%,NULL,NULL,NULL,NULL,NULL,
allthatnode-dedicated-full-archive,AllThatNode,,"[""[Contact](https://www.allthatnode.com/pricing.dsrv)"",""[Docs](https://docs.allthatnode.com/docs/welcome-to-all-that-node)""]",,Dedicated,Archive,RPC,EVM JSON-RPC,Custom,Custom pricing,FALSE,FALSE,"[""eth"",""net"",""web3"",""debug"",""trace"",""websocket""]","[""custom limits"",""unlimited throughput limit""]","[""IP Whitelisting"",""JWT Authentication"",""Smart Contract Address Restrictions"",""Front-Running Protection"",""Comprehensive Analytics Dashboard""]","[""Advanced analytics"",""Custom dashboards"",""Engineering support""]","[""Global""]",null,,,Custom,NULL,NULL,NULL,NULL,NULL,
allthatnode-dedicated-recent-state,AllThatNode,,"[""[Contact](https://www.allthatnode.com/pricing.dsrv)"",""[Docs](https://docs.allthatnode.com/docs/welcome-to-all-that-node)""]",,Dedicated,Pruned,RPC,EVM JSON-RPC,Custom,Custom pricing,FALSE,FALSE,"[""eth"",""net"",""web3"",""debug"",""trace"",""websocket""]","[""custom limits"",""unlimited throughput limit""]","[""IP Whitelisting"",""JWT Authentication"",""Smart Contract Address Restrictions"",""Front-Running Protection"",""Comprehensive Analytics Dashboard""]","[""Advanced analytics"",""Custom dashboards"",""Engineering support""]","[""Global""]",null,,,Custom,NULL,NULL,NULL,NULL,NULL,
allthatnode-free-full-archive,AllThatNode,,"[""[Website](https://www.allthatnode.com)"",""[Docs](https://docs.allthatnode.com/docs/welcome-to-all-that-node)""]",,Free,Archive,RPC,EVM JSON-RPC,$0,$0/1M request,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""500K CU/day"",""150 Cups throughput limit""]","[""IP Whitelisting"",""JWT Authentication"",""Smart Contract Address Restrictions"",""Front-Running Protection"",""Comprehensive Analytics Dashboard""]","[""Basic monitoring"",""Usage analytics""]","[""Global""]",null,,,99.99%,NULL,NULL,NULL,NULL,NULL,
allthatnode-free-recent-state,AllThatNode,,"[""[Website](https://www.allthatnode.com)"",""[Docs](https://docs.allthatnode.com/docs/welcome-to-all-that-node)""]",,Free,Pruned,RPC,EVM JSON-RPC,$0,$0/1M request,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""500K CU/day"",""150 Cups throughput limit""]","[""IP Whitelisting"",""JWT Authentication"",""Smart Contract Address Restrictions"",""Front-Running Protection"",""Comprehensive Analytics Dashboard""]","[""Basic monitoring"",""Usage analytics""]","[""Global""]",null,,,99.99%,NULL,NULL,NULL,NULL,NULL,
allthatnode-scale-full-archive,AllThatNode,,"[""[Buy](https://www.allthatnode.com/pricing.dsrv)"",""[Docs](https://docs.allthatnode.com/docs/welcome-to-all-that-node)""]",Scale,Tiered,Archive,RPC,EVM JSON-RPC,"$139/mo, $1389/yearly",$0.56 per 1M CUs,FALSE,FALSE,"[""eth"",""net"",""web3"",""debug"",""trace"",""websocket""]","[""10M CU/day"",""2K CUps throughput limit""]","[""IP Whitelisting"",""JWT Authentication"",""Smart Contract Address Restrictions"",""Front-Running Protection"",""Comprehensive Analytics Dashboard""]","[""Usage analytics"",""Custom alerts"",""Reporting""]","[""Global""]",null,,,99.99%,NULL,NULL,NULL,NULL,NULL,
allthatnode-scale-recent-state,AllThatNode,,"[""[Buy](https://www.allthatnode.com/pricing.dsrv)"",""[Docs](https://docs.allthatnode.com/docs/welcome-to-all-that-node)""]",Scale,Tiered,Pruned,RPC,EVM JSON-RPC,"$139/mo, $1389/yearly",$0.56 per 1M CUs,FALSE,FALSE,"[""eth"",""net"",""web3"",""debug"",""trace"",""websocket""]","[""10M CU/day"",""2K CUps throughput limit""]","[""IP Whitelisting"",""JWT Authentication"",""Smart Contract Address Restrictions"",""Front-Running Protection"",""Comprehensive Analytics Dashboard""]","[""Usage analytics"",""Custom alerts"",""Reporting""]","[""Global""]",null,,,99.99%,NULL,NULL,NULL,NULL,NULL,
allthatnode-starter-full-archive,AllThatNode,,"[""[Buy](https://www.allthatnode.com/pricing.dsrv)"",""[Docs](https://docs.allthatnode.com/docs/welcome-to-all-that-node)""]",Starter,Tiered,Archive,RPC,EVM JSON-RPC,"$29/mo, $289/yearly",$0.58 per 1M CUs,FALSE,FALSE,"[""eth"",""net"",""web3"",""debug"",""trace"",""websocket""]","[""2M CU/day"",""500 CUps throughput limit""]","[""IP Whitelisting"",""JWT Authentication"",""Smart Contract Address Restrictions"",""Front-Running Protection"",""Comprehensive Analytics Dashboard""]","[""Usage analytics"",""Custom alerts"",""Reporting""]","[""Global""]",null,,,99.99%,NULL,NULL,NULL,NULL,NULL,
allthatnode-starter-recent-state,AllThatNode,,"[""[Buy](https://www.allthatnode.com/pricing.dsrv)"",""[Docs](https://docs.allthatnode.com/docs/welcome-to-all-that-node)""]",Starter,Tiered,Pruned,RPC,EVM JSON-RPC,"$29/mo, $289/yearly",$0.58 per 1M CUs,FALSE,FALSE,"[""eth"",""net"",""web3"",""debug"",""trace"",""websocket""]","[""2M CU/day"",""500 CUps throughput limit""]","[""IP Whitelisting"",""JWT Authentication"",""Smart Contract Address Restrictions"",""Front-Running Protection"",""Comprehensive Analytics Dashboard""]","[""Usage analytics"",""Custom alerts"",""Reporting""]","[""Global""]",null,,,99.99%,NULL,NULL,NULL,NULL,NULL,
ankr-enterprise-full-archive,Ankr,,"[""[Contact](https://www.ankr.com/rpc/?utm_referral=t26yw96jZJ)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/)""]",,Enterprise,Archive,RPC,EVM JSON-RPC,Custom,custom,FALSE,FALSE,"[""Advanced ANKR API"",""[eth](https://www.ankr.com/docs/rpc-service/chains/chains-list/)"",""[debug](https://www.ankr.com/docs/rpc-service/chains/chains-list/)"",""[web3](https://www.ankr.com/docs/rpc-service/chains/chains-list/)""]","[""custom limits""]","[""DDoS Protection"",""IP Protection"",""Domain name protection"",""Custom rate limiting"",""Error tracing""]","[""Usage analytics"",""Custom monitoring"", ""Engineering team support""]","[""Global""]",,,,,NULL,NULL,NULL,NULL,NULL,
ankr-enterprise-recent-state,Ankr,,"[""[Contact](https://www.ankr.com/rpc/?utm_referral=t26yw96jZJ)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/)""]",,Enterprise,Pruned,RPC,EVM JSON-RPC,Custom,custom,FALSE,FALSE,"[""Advanced ANKR API"",""[eth](https://www.ankr.com/docs/rpc-service/chains/chains-list/)"",""[debug](https://www.ankr.com/docs/rpc-service/chains/chains-list/)"",""[web3](https://www.ankr.com/docs/rpc-service/chains/chains-list/)""]","[""custom limits""]","[""DDoS Protection"",""IP Protection"",""Domain name protection"",""Custom rate limiting"",""Error tracing""]","[""Usage analytics"",""Custom monitoring"", ""Engineering team support""]","[""Global""]",,,,,NULL,NULL,NULL,NULL,NULL,
ankr-free-full-archive,Ankr,,"[""[Website](https://www.ankr.com/rpc/?utm_referral=t26yw96jZJ)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/)""]",,Free,Archive,RPC,EVM JSON-RPC,$0,$0,FALSE,FALSE,"[""Advanced ANKR API"",""[eth](https://www.ankr.com/docs/rpc-service/chains/chains-list/)"",""[debug](https://www.ankr.com/docs/rpc-service/chains/chains-list/)"",""[web3](https://www.ankr.com/docs/rpc-service/chains/chains-list/)""]","[""free 200M API credits/mo"",""30 reqs/sec (node API)"",""30 reqs/min (advanced API)"",""1 project (personal API tokens)""]","[""DDoS Protection"",""IP Protection"",""Domain name protection"",""Custom rate limiting"",""Method Limiting"",""Error tracing"",""Contract addresses protection""]","[""Usage analytics"", ""Community support""]","[""Global""]",,,,,NULL,NULL,NULL,NULL,NULL,
ankr-free-recent-state,Ankr,,"[""[Website](https://www.ankr.com/rpc/?utm_referral=t26yw96jZJ)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/)""]",,Free,Pruned,RPC,EVM JSON-RPC,$0,$0,FALSE,FALSE,"[""Advanced ANKR API"",""[eth](https://www.ankr.com/docs/rpc-service/chains/chains-list/)"",""[debug](https://www.ankr.com/docs/rpc-service/chains/chains-list/)"",""[web3](https://www.ankr.com/docs/rpc-service/chains/chains-list/)""]","[""free 200M API credits/mo"",""30 reqs/sec (node API)"",""30 reqs/min (advanced API)"",""1 project (personal API tokens)""]","[""DDoS Protection"",""IP Protection"",""Domain name protection"",""Custom rate limiting"",""Method Limiting"",""Error tracing"",""Contract addresses protection""]","[""Usage analytics"", ""Community support""]","[""Global""]",,,,,NULL,NULL,NULL,NULL,NULL,
ankr-pay-as-you-go-full-archive,Ankr,,"[""[Buy](https://www.ankr.com/rpc/?utm_referral=t26yw96jZJ)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#ethereum)""]",,Pay-as-you-go,Archive,RPC,EVM JSON-RPC,up to $10(payg plan)/$500-$3K(deal plan),$20(evm compatible API)/$50(solana API)/$70(beacon chains API)/$10(other API)/$70(advanced API) per 1M reqs,FALSE,FALSE,"[""Advanced ANKR API"",""[eth](https://www.ankr.com/docs/rpc-service/chains/chains-list/)"",""[debug](https://www.ankr.com/docs/rpc-service/chains/chains-list/)"",""[web3](https://www.ankr.com/docs/rpc-service/chains/chains-list/)"", ""debug"", ""trace""]","[""1.5K reqs/sec (node API)"",""1K reqs/min (advanced API)"",""3 projects (personal API tokens)""]","[""DDoS Protection"", ""IP Protection"", ""Privacy preserving""]","[""Usage analytics"",""Custom monitoring"", ""Support portal""]","[""Global""]",,,,Custom SLA,NULL,NULL,NULL,NULL,NULL,
ankr-pay-as-you-go-recent-state,Ankr,,"[""[Buy](https://www.ankr.com/rpc/?utm_referral=t26yw96jZJ)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/)""]",,Pay-as-you-go,Pruned,RPC,EVM JSON-RPC,up to $10(payg plan)/$500-$3K(deal plan),$0.02(evm compatible API)/$0.05(solana API)/$0.07(beacon chains API)/$0.01(other API)/$0.07(advanced API) per 1K reqs,FALSE,FALSE,"[""Advanced ANKR API"",""[eth](https://www.ankr.com/docs/rpc-service/chains/chains-list/)"",""[debug](https://www.ankr.com/docs/rpc-service/chains/chains-list/)"",""[web3](https://www.ankr.com/docs/rpc-service/chains/chains-list/)""]","[""1.5K reqs/sec (node API)"",""1K reqs/min (advanced API)"",""3 projects (personal API tokens)""]","[""DDoS Protection"",""IP Protection"",""Domain name protection"",""Custom rate limiting"",""Error tracing""]","[""Usage analytics"",""Custom monitoring"", ""Support portal""]","[""Global""]",,,,,NULL,NULL,NULL,NULL,NULL,
ankr-public-full-archive,Ankr,,"[""[Website](https://www.ankr.com/rpc/?utm_referral=t26yw96jZJ)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/)""]",,Public,Archive,RPC,EVM JSON-RPC,$0,$0,FALSE,FALSE,"[""Advanced ANKR API"",""[eth](https://www.ankr.com/docs/rpc-service/chains/chains-list/)"",""[debug](https://www.ankr.com/docs/rpc-service/chains/chains-list/)"",""[web3](https://www.ankr.com/docs/rpc-service/chains/chains-list/)""]",,"[""DDoS Protection"",""IP Protection"",""Domain name protection"",""Custom rate limiting"",""Method Limiting"",""Error tracing"",""Contract addresses protection""]","[""Usage analytics"", ""Community support""]","[""Global""]",,,,,NULL,NULL,NULL,NULL,NULL,
astar-free-recent-state,Astar,,"[""[Website](https://astar.network)"",""[Docs](https://docs.astar.network)""]",,Free,Pruned,RPC,EVM JSON-RPC,$0,$0,FALSE,FALSE,"[""eth"",""web3"",""net"",""substrate""]","[""limited when overused"",""not for production""]",,,,,,,,NULL,,NULL,,NULL,
berachain-public-rpc,Berachain,Public RPC,"[""[Docs](https://docs.berachain.com/general/introduction/connect-to-berachain)""]",,Public,Pruned,RPC,EVM JSON-RPC,$0,$0,FALSE,FALSE,"[""eth"",""net"",""web3""]",,"[""DDoS Protection""]",,"[""Global""]",,,,,NULL,NULL,NULL,NULL,NULL,
bitquery-commercial-indexer,Bitquery,,"[""[Website](https://bitquery.io/)"",""[Docs](https://docs.bitquery.io/)""]",Commercial,Enterprise,Archive,Indexed Data,Custom,Custom,Custom,FALSE,FALSE,"[""Blockchain Data API (V1 API)"",""Bitquery Streaming API (V2 API)"",""GraphQL API""]","[""custom limits""]","[""Token-based authentication"",""Real-time validation"",""Cross-validation"",""MEV detection""]","[""Real-time monitoring"",""Real-time tracking"",""Balance checkers""]","[""US"",""Europe"",""Asia""]","[""ClickHouse OLAP for fast analytics"",""SOC 2 compliance""]",,,,NULL,NULL,NULL,NULL,NULL,
bitquery-developer-indexer,Bitquery,,"[""[Website](https://bitquery.io/)"",""[Docs](https://docs.bitquery.io/)""]",Developer,Free,Archive,Indexed Data,Custom,$0,$0,FALSE,FALSE,"[""Blockchain Data API (V1 API)"",""Bitquery Streaming API (V2 API)"",""GraphQL API""]","[""1K points"",""10 reqs/mint"",""10 rows/req"",""2 simultaneous streams for Testing purposes""]","[""Token-based authentication"",""Real-time validation"",""Cross-validation"",""MEV detection""]","[""Real-time monitoring"",""Real-time tracking"",""Balance checkers""]","[""US"",""Europe"",""Asia""]","[""ClickHouse OLAP for fast analytics"",""SOC 2 compliance""]",,,,NULL,NULL,NULL,NULL,NULL,
blockdaemon-dedicated-full-archive,Blockdaemon,,"[""[Contact](https://www.blockdaemon.com/api/pricing#form-jump)"",""[Docs](https://docs.blockdaemon.com/docs/homepage-guides)""]",,Dedicated,Archive,RPC,EVM JSON-RPC,Custom,Custom,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""custom limits""]","[""DDoS Protection"",""IP Protection"",""Dedicated infrastructure""]","[""Usage analytics"",""Custom monitoring"",""Advanced analytics""]","[""Global""]",,,,,NULL,NULL,NULL,NULL,NULL,
blockdaemon-dedicated-recent-state,Blockdaemon,,"[""[Contact](https://www.blockdaemon.com/api/pricing#form-jump)"",""[Docs](https://docs.blockdaemon.com/docs/homepage-guides)""]",,Dedicated,Pruned,RPC,EVM JSON-RPC,Custom,Custom,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""custom limits""]","[""DDoS Protection"",""IP Protection"",""Dedicated infrastructure""]","[""Usage analytics"",""Custom monitoring"",""Advanced analytics""]","[""Global""]",,,,NULL,NULL,NULL,NULL,NULL,NULL,
blockdaemon-enterprise-full-archive,Blockdaemon,,"[""[Contact](https://www.blockdaemon.com/api/pricing#form-jump)"",""[Docs](https://docs.blockdaemon.com/docs/homepage-guides)""]",,Enterprise,Archive,RPC,EVM JSON-RPC,Custom,Custom,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""up to 400M CUs/mo"",""custom limits"",""1 Test Key"",""10 Live Keys""]","[""DDoS Protection"",""IP Protection""]","[""Usage analytics"",""Custom monitoring""]","[""South Africa"",""Asia"",""Canada Central"",""Europe"",""South America"",""US""]",,,,99.90%,NULL,NULL,NULL,NULL,NULL,
blockdaemon-enterprise-recent-state,Blockdaemon,,"[""[Contact](https://www.blockdaemon.com/api/pricing#form-jump)"",""[Docs](https://docs.blockdaemon.com/docs/homepage-guides)""]",,Enterprise,Pruned,RPC,EVM JSON-RPC,Custom,Custom,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""up to 400M CUs/mo"",""custom limits"",""1 Test Key"",""10 Live Keys""]","[""DDoS Protection"",""IP Protection""]","[""Usage analytics"",""Custom monitoring""]","[""South Africa"",""Asia"",""Canada Central"",""Europe"",""South America"",""US""]",,,,99.90%,NULL,NULL,NULL,NULL,NULL,
blockdaemon-free-full-archive,Blockdaemon,,"[""[Website](https://www.blockdaemon.com/)"",""[Docs](https://docs.blockdaemon.com/docs/homepage-guides)""]",,Free,Archive,RPC,EVM JSON-RPC,$0,$0,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""3M CUs/mo"",""5 RPS"",""1 Test Key""]","[""DDoS Protection"",""IP Protection""]","[""Usage analytics""]","[""South Africa"",""Asia"",""Canada Central"",""Europe"",""South America"",""US""]",,,,99.90%,NULL,NULL,NULL,NULL,NULL,
blockdaemon-free-recent-state,Blockdaemon,,"[""[Website](https://www.blockdaemon.com/)"",""[Docs](https://docs.blockdaemon.com/docs/homepage-guides)""]",,Free,Pruned,RPC,EVM JSON-RPC,$0,$0,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""3M CUs/mo"",""5 RPS"",""1 Test Key""]","[""DDoS Protection"",""IP Protection""]","[""Usage analytics""]","[""South Africa"",""Asia"",""Canada Central"",""Europe"",""South America"",""US""]",,,,99.90%,NULL,NULL,NULL,NULL,NULL,
blockdaemon-growth-full-archive,Blockdaemon,,"[""[Buy](https://www.blockdaemon.com/api/pricing)"",""[Docs](https://docs.blockdaemon.com/docs/homepage-guides)""]",Growth,Tiered,Archive,RPC,EVM JSON-RPC,,$20/1M CUs,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""115-365M CUs/mo"",""200 RPS"",""1 Test Key"",""10 Live Keys""]","[""DDoS Protection"",""IP Protection""]","[""Usage analytics"",""Custom monitoring""]","[""South Africa"",""Asia"",""Canada Central"",""Europe"",""South America"",""US""]",,,,,NULL,NULL,NULL,NULL,NULL,
blockdaemon-growth-recent-state,Blockdaemon,,"[""[Buy](https://www.blockdaemon.com/api/pricing)"",""[Docs](https://docs.blockdaemon.com/docs/homepage-guides)""]",Growth,Tiered,Pruned,RPC,EVM JSON-RPC,,$20/1M CUs,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""115-365M CUs/mo"",""200 RPS"",""1 Test Key"",""10 Live Keys""]","[""DDoS Protection"",""IP Protection""]","[""Usage analytics"",""Custom monitoring""]","[""South Africa"",""Asia"",""Canada Central"",""Europe"",""South America"",""US""]",,,,99.90%,NULL,NULL,NULL,NULL,NULL,
blockdaemon-starter-full-archive,Blockdaemon,,"[""[Buy](https://www.blockdaemon.com/api/pricing)"",""[Docs](https://docs.blockdaemon.com/docs/homepage-guides)""]",Starter,Tiered,Archive,RPC,EVM JSON-RPC,,$42.5/1M CUs,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""15-65M CUs/mo"",""100 RPS"",""1 Test Key"",""10 Live Keys""]","[""DDoS Protection"",""IP Protection""]","[""Usage analytics"",""Custom monitoring""]","[""South Africa"",""Asia"",""Canada Central"",""Europe"",""South America"",""US""]",,,,,NULL,NULL,NULL,NULL,NULL,
blockdaemon-starter-recent-state,Blockdaemon,,"[""[Buy](https://www.blockdaemon.com/api/pricing)"",""[Docs](https://docs.blockdaemon.com/docs/homepage-guides)""]",Starter,Tiered,Pruned,RPC,EVM JSON-RPC,,$42.5/1M CUs,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""15-65M CUs/mo"",""100 RPS"",""1 Test Key"",""10 Live Keys""]","[""DDoS Protection"",""IP Protection""]","[""Usage analytics"",""Custom monitoring""]","[""South Africa"",""Asia"",""Canada Central"",""Europe"",""South America"",""US""]",,,,99.90%,NULL,NULL,NULL,NULL,NULL,
blockeden-basic-full-archive,BlockEden,,"[""[Buy](https://blockeden.xyz/pricing)"",""[Docs](https://blockeden.xyz/docs/intro/)""]",Basic,Tiered,Archive,RPC,EVM JSON-RPC,$19.99/mo,,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""10 RPS""]","[""API Key Authentication""]","[""Usage analytics""]","[""Global""]",,,,99.99%,NULL,NULL,NULL,NULL,NULL,
